FacPre-0,FacPre-1,FacPre-2,FacPre-3,FacPre-4,FacPre-5,FacPre-6,FacPre-7,FacPre-8,FacPre-9,Mean,std
5.613922,5.590346,5.524238,5.533297,5.663626,5.519073,5.490472,5.490596,5.50656,5.578869,5.5510999,0.0580274
5.628558,5.621916,5.56628,5.56676,5.672333,5.558454,5.530274,5.526303,5.533574,5.604186,5.5808638,0.048940891
5.645236,5.655794,5.608974,5.602226,5.68227,5.599564,5.574148,5.566654,5.563154,5.631803,5.6129823,0.040107129
5.66428,5.691902,5.652354,5.639711,5.693688,5.64235,5.621596,5.612158,5.595547,5.662066,5.6475652,0.032194727
5.686082,5.730171,5.696163,5.679242,5.706908,5.686651,5.671786,5.663378,5.630945,5.695194,5.684652,0.026559814
5.711118,5.77056,5.740104,5.72086,5.722346,5.731988,5.724046,5.720913,5.669432,5.730157,5.7241524,0.025153742
5.740006,5.813118,5.784016,5.764603,5.740548,5.777436,5.777986,5.785331,5.711077,5.766078,5.7660199,0.028934405
5.773242,5.858014,5.827564,5.810069,5.762268,5.822143,5.833262,5.849684,5.756118,5.803039,5.8095403,0.035678102
5.809909,5.905438,5.86795,5.85605,5.788568,5.865932,5.889409,5.905514,5.805054,5.839996,5.853382,0.041777056
5.85038,5.952378,5.904477,5.902495,5.821007,5.90849,5.94573,5.95212,5.857108,5.875234,5.8969419,0.045596208
5.892086,5.992834,5.937584,5.946882,5.860014,5.948776,5.996264,5.991966,5.907998,5.907798,5.9382202,0.046560216
5.930741,6.027836,5.967653,5.986969,5.90375,5.984394,6.037402,6.0258,5.954536,5.93462,5.9753701,0.045503537
5.966212,6.058487,5.995019,6.023045,5.95135,6.015679,6.067544,6.05447,5.996894,5.956546,6.0085246,0.04272818
5.998334,6.085598,6.019974,6.055472,5.9931,6.043004,6.089578,6.078992,6.03536,5.974804,6.0374216,0.040617746
6.026845,6.109764,6.042766,6.084634,6.027094,6.066014,6.1057,6.100172,6.07021,5.990284,6.0623483,0.039735552
6.05206,6.131418,6.063616,6.110876,6.05384,6.085172,6.117533,6.118635,6.101724,6.003624,6.0838498,0.040021824
6.074332,6.150868,6.082718,6.13451,6.074264,6.101156,6.126156,6.134864,6.130159,6.015296,6.1024323,0.041264044
6.093996,6.168342,6.100244,6.155796,6.089376,6.114496,6.132348,6.149226,6.155764,6.025656,6.1185244,0.043227622
6.111352,6.184014,6.116348,6.17498,6.100148,6.125608,6.136673,6.16202,6.178776,6.034973,6.1324892,0.045707216
6.126666,6.198061,6.131171,6.192328,6.107435,6.134823,6.139556,6.17348,6.199416,6.04346,6.1446396,0.048543689
