"","gene_id","gene_type","gene_name"
"1","ENSG00000000003.15","protein_coding","TSPAN6"
"2","ENSG00000000005.6","protein_coding","TNMD"
"3","ENSG00000000419.13","protein_coding","DPM1"
"4","ENSG00000000457.14","protein_coding","SCYL3"
"5","ENSG00000000460.17","protein_coding","C1orf112"
"6","ENSG00000000938.13","protein_coding","FGR"
"7","ENSG00000000971.16","protein_coding","CFH"
"8","ENSG00000001036.14","protein_coding","FUCA2"
"9","ENSG00000001084.13","protein_coding","GCLC"
"10","ENSG00000001167.14","protein_coding","NFYA"
"11","ENSG00000001460.18","protein_coding","STPG1"
"12","ENSG00000001461.17","protein_coding","NIPAL3"
"13","ENSG00000001497.18","protein_coding","LAS1L"
"14","ENSG00000001561.7","protein_coding","ENPP4"
"15","ENSG00000001617.12","protein_coding","SEMA3F"
"16","ENSG00000001626.16","protein_coding","CFTR"
"17","ENSG00000001629.10","protein_coding","ANKIB1"
"18","ENSG00000001630.17","protein_coding","CYP51A1"
"19","ENSG00000001631.16","protein_coding","KRIT1"
"20","ENSG00000002016.18","protein_coding","RAD52"
"21","ENSG00000002079.14","transcribed_unitary_pseudogene","MYH16"
"22","ENSG00000002330.14","protein_coding","BAD"
"23","ENSG00000002549.12","protein_coding","LAP3"
"24","ENSG00000002586.20","protein_coding","CD99"
"25","ENSG00000002586.20_PAR_Y","protein_coding","CD99"
"26","ENSG00000002587.10","protein_coding","HS3ST1"
"27","ENSG00000002726.21","protein_coding","AOC1"
"28","ENSG00000002745.13","protein_coding","WNT16"
"29","ENSG00000002746.15","protein_coding","HECW1"
"30","ENSG00000002822.15","protein_coding","MAD1L1"
"31","ENSG00000002834.18","protein_coding","LASP1"
"32","ENSG00000002919.15","protein_coding","SNX11"
"33","ENSG00000002933.9","protein_coding","TMEM176A"
"34","ENSG00000003056.8","protein_coding","M6PR"
"35","ENSG00000003096.14","protein_coding","KLHL13"
"36","ENSG00000003137.8","protein_coding","CYP26B1"
"37","ENSG00000003147.19","protein_coding","ICA1"
"38","ENSG00000003249.15","protein_coding","DBNDD1"
"39","ENSG00000003393.15","protein_coding","ALS2"
"40","ENSG00000003400.15","protein_coding","CASP10"
"41","ENSG00000003402.20","protein_coding","CFLAR"
"42","ENSG00000003436.16","protein_coding","TFPI"
"43","ENSG00000003509.16","protein_coding","NDUFAF7"
"44","ENSG00000003756.17","protein_coding","RBM5"
"45","ENSG00000003987.14","protein_coding","MTMR7"
"46","ENSG00000003989.18","protein_coding","SLC7A2"
"47","ENSG00000004059.11","protein_coding","ARF5"
"48","ENSG00000004139.14","protein_coding","SARM1"
"49","ENSG00000004142.12","protein_coding","POLDIP2"
"50","ENSG00000004399.13","protein_coding","PLXND1"
"51","ENSG00000004455.17","protein_coding","AK2"
"52","ENSG00000004468.13","protein_coding","CD38"
"53","ENSG00000004478.8","protein_coding","FKBP4"
"54","ENSG00000004487.17","protein_coding","KDM1A"
"55","ENSG00000004534.15","protein_coding","RBM6"
"56","ENSG00000004660.15","protein_coding","CAMKK1"
"57","ENSG00000004700.16","protein_coding","RECQL"
"58","ENSG00000004766.17","protein_coding","VPS50"
"59","ENSG00000004776.13","protein_coding","HSPB6"
"60","ENSG00000004777.18","protein_coding","ARHGAP33"
"61","ENSG00000004779.10","protein_coding","NDUFAB1"
"62","ENSG00000004799.8","protein_coding","PDK4"
"63","ENSG00000004809.14","protein_coding","SLC22A16"
"64","ENSG00000004838.14","protein_coding","ZMYND10"
"65","ENSG00000004846.16","protein_coding","ABCB5"
"66","ENSG00000004848.8","protein_coding","ARX"
"67","ENSG00000004864.14","protein_coding","SLC25A13"
"68","ENSG00000004866.22","protein_coding","ST7"
"69","ENSG00000004897.12","protein_coding","CDC27"
"70","ENSG00000004939.15","protein_coding","SLC4A1"
"71","ENSG00000004948.16","protein_coding","CALCR"
"72","ENSG00000004961.15","protein_coding","HCCS"
"73","ENSG00000004975.12","protein_coding","DVL2"
"74","ENSG00000005001.10","protein_coding","PRSS22"
"75","ENSG00000005007.13","protein_coding","UPF1"
"76","ENSG00000005020.13","protein_coding","SKAP2"
"77","ENSG00000005022.6","protein_coding","SLC25A5"
"78","ENSG00000005059.16","protein_coding","MCUB"
"79","ENSG00000005073.6","protein_coding","HOXA11"
"80","ENSG00000005075.15","protein_coding","POLR2J"
"81","ENSG00000005100.13","protein_coding","DHX33"
"82","ENSG00000005102.14","protein_coding","MEOX1"
"83","ENSG00000005108.16","protein_coding","THSD7A"
"84","ENSG00000005156.12","protein_coding","LIG3"
"85","ENSG00000005175.10","protein_coding","RPAP3"
"86","ENSG00000005187.12","protein_coding","ACSM3"
"87","ENSG00000005189.20","protein_coding","REXO5"
"88","ENSG00000005194.15","protein_coding","CIAPIN1"
"89","ENSG00000005206.17","protein_coding","SPPL2B"
"90","ENSG00000005238.20","protein_coding","FAM214B"
"91","ENSG00000005243.10","protein_coding","COPZ2"
"92","ENSG00000005249.13","protein_coding","PRKAR2B"
"93","ENSG00000005302.19","protein_coding","MSL3"
"94","ENSG00000005339.15","protein_coding","CREBBP"
"95","ENSG00000005379.17","protein_coding","TSPOAP1"
"96","ENSG00000005381.8","protein_coding","MPO"
"97","ENSG00000005421.9","protein_coding","PON1"
"98","ENSG00000005436.14","protein_coding","GCFC2"
"99","ENSG00000005448.17","protein_coding","WDR54"
"100","ENSG00000005469.12","protein_coding","CROT"
"101","ENSG00000005471.19","protein_coding","ABCB4"
"102","ENSG00000005483.21","protein_coding","KMT2E"
"103","ENSG00000005486.17","protein_coding","RHBDD2"
"104","ENSG00000005513.10","protein_coding","SOX8"
"105","ENSG00000005700.15","protein_coding","IBTK"
"106","ENSG00000005801.18","protein_coding","ZNF195"
"107","ENSG00000005810.18","protein_coding","MYCBP2"
"108","ENSG00000005812.11","protein_coding","FBXL3"
"109","ENSG00000005844.19","protein_coding","ITGAL"
