"","mean_Normal","mean_Tumor","over_10_normal","over_10_tumor","normal_sample","tumor_sample","log2foldChange","pValues","FDR"
"ENSG00000000003.15",33.0346285753661,73.8559044732657,58,513,58,513,1.16073413921206,1.96240364826553e-19,1.44818325471833e-18
"ENSG00000000005.6",0.111697749365284,0.727220998308966,1,48,58,513,2.70279374078437,0.00042037768109692,0.000697581327137053
"ENSG00000000419.13",28.8099721445097,35.2553793229476,58,513,58,513,0.291275137455488,0.000377009798583786,0.000629757551523597
"ENSG00000000457.14",12.2696257640262,16.9758326903834,58,513,58,513,0.468391096572659,3.71843589854869e-13,1.47578939579121e-12
"ENSG00000000460.17",2.64525870663261,8.80166905632125,58,513,58,513,1.73436830227263,4.59894332476185e-33,5.3400650764779e-31
"ENSG00000000938.13",96.9337100226598,23.1642456104781,58,513,58,513,-2.06509877090511,1.16802085057795e-31,6.67782203940451e-30
"ENSG00000000971.16",101.820952307201,117.183330449664,58,513,58,513,0.202732894296372,0.494550412254841,0.539024180166751
"ENSG00000001036.14",45.328771095553,55.8717334551632,58,513,58,513,0.301691532522354,0.0184016853891736,0.0251705513673543
"ENSG00000001084.13",21.8950043644113,107.578414711278,58,513,58,513,2.29671499198463,6.22008875111103e-10,1.80063506901992e-09
"ENSG00000001167.14",24.9752530675956,44.5583914060114,58,513,58,513,0.835197854622726,1.32324269199449e-22,1.3692639875126e-21
"ENSG00000001460.18",15.3055716722932,12.7055090751908,58,513,58,513,-0.268602749981771,0.000166710236482595,0.000288671067355741
"ENSG00000001461.17",71.2226369491157,49.9465260256235,58,513,58,513,-0.511951514597502,1.19710089502446e-14,5.48530149942934e-14
"ENSG00000001497.18",34.9830628652019,46.7503948509434,58,513,58,513,0.418321943181132,7.31586842644836e-14,3.10954031821927e-13
"ENSG00000001561.7",75.4860533412001,49.7370982244552,58,513,58,513,-0.60188777958575,3.01788930187353e-15,1.46631088797936e-14
"ENSG00000001617.12",46.5580079816656,41.0022866194206,58,513,58,513,-0.183324964478406,0.000161739518776718,0.000280341377261469
"ENSG00000001626.16",49.6587106881089,20.0327447975583,58,488,58,513,-1.30968669829842,7.47619468615751e-19,5.21921524219594e-18
"ENSG00000001629.10",47.8407321310342,72.5229216801908,58,513,58,513,0.600197579098009,9.62366206797571e-14,4.04912842693312e-13
"ENSG00000001630.17",5.07739679819669,2.86147520475336,58,499,58,513,-0.827329905283448,6.09058841323788e-16,3.19084090916727e-15
"ENSG00000001631.16",5.43388362250588,6.41507482598689,58,513,58,513,0.239482425443885,0.00095109591956903,0.00152075670980566
"ENSG00000002016.18",6.61864623735834,8.86753415772202,58,513,58,513,0.421996820740284,1.77003315874143e-05,3.3793532303887e-05
"ENSG00000002079.14",0.112706670497621,0.846450481058389,6,356,58,513,2.90885276687677,2.12951072584716e-17,1.29088982369326e-16
"ENSG00000002330.14",10.7369599584231,11.134123038734,58,512,58,513,0.0524023617251886,0.961491276266867,0.96731536849391
"ENSG00000002549.12",154.709514919055,133.309217073928,58,513,58,513,-0.214785395289365,2.87782519540283e-05,5.37890945710549e-05
"ENSG00000002586.20",186.803318913161,186.753370468249,58,513,58,513,-0.00038580690027626,0.118229893402802,0.144105381452686
"ENSG00000002587.10",9.0842976377756,26.5299137241497,58,513,58,513,1.54617310353096,1.09424916610022e-11,3.76100676055037e-11
"ENSG00000002726.21",1.39959994149871,45.819849996717,56,503,58,513,5.03288632110971,6.90557685239981e-17,3.96100869422242e-16
"ENSG00000002745.13",0.223846879582878,3.72798887688011,16,259,58,513,4.05781344308118,0.0126349473617977,0.0176581077205249
"ENSG00000002746.15",0.372170111289307,1.93983536336312,32,473,58,513,2.38190011061701,6.62615523327662e-19,4.64060756956619e-18
"ENSG00000002822.15",1.0167077680268,0.666674410726521,58,456,58,513,-0.608850807769721,2.70687041177788e-11,8.92383082234613e-11
"ENSG00000002834.18",226.534456798744,294.592101615567,58,513,58,513,0.3789882437658,8.86186184619375e-06,1.74275313674922e-05
"ENSG00000002919.15",30.8899385356757,30.1751025841602,58,513,58,513,-0.0337783246991812,0.476688456298138,0.521153958679154
"ENSG00000002933.9",41.4923026564093,85.2378132653087,58,513,58,513,1.03864985873427,1.39284932444568e-05,2.6865969843516e-05
"ENSG00000003056.8",89.7951785226312,75.5946118736121,58,513,58,513,-0.248354575013124,3.61870315344045e-06,7.3768358698504e-06
"ENSG00000003096.14",4.00078877441621,3.60009040370312,58,499,58,513,-0.152251326928969,0.000151700118902634,0.000263706579242376
"ENSG00000003137.8",12.0789445363861,6.13202693409711,58,512,58,513,-0.978058457862293,2.33745742611301e-05,4.41133101589771e-05
"ENSG00000003147.19",21.0917994873049,47.6150416754874,58,513,58,513,1.17473520876209,3.20890438861122e-24,4.07787258914942e-23
"ENSG00000003249.15",8.66813828994055,35.9072291507333,58,512,58,513,2.05048025377709,5.4026781382143e-29,1.46919253578259e-27
"ENSG00000003393.15",29.8471743576784,30.2976932888346,58,513,58,513,0.0216136009530593,0.206777315595703,0.242113613950671
"ENSG00000003400.15",42.4134451056459,39.8189015169265,58,513,58,513,-0.091068251086822,0.0137689255545624,0.0191572103495481
"ENSG00000003402.20",268.329535939532,159.008543915688,58,513,58,513,-0.75490157855672,3.89949072139611e-19,2.78525954030693e-18
"ENSG00000003436.16",249.543171877176,195.144710115209,58,513,58,513,-0.3547450731949,1.15558757292687e-10,3.5790073278351e-10
"ENSG00000003509.16",9.18367326021845,13.7553010920036,58,513,58,513,0.582844500028791,6.45510403095502e-21,5.53939960694315e-20
"ENSG00000003756.17",58.6322705997095,59.689164553072,58,513,58,513,0.0257741332839203,0.648725961959374,0.686418559483001
"ENSG00000003987.14",2.07702502640682,6.84747786202382,58,508,58,513,1.72105409713758,0.00252115008994754,0.00383269729234175
"ENSG00000003989.18",62.8957921121321,133.511408966453,58,513,58,513,1.08592762448125,0.013996307274357,0.0194498567831855
"ENSG00000004059.11",70.2994216177875,93.3159404541253,58,513,58,513,0.408610727074715,4.23685085450973e-06,8.58625686339056e-06
"ENSG00000004139.14",6.2289015063387,5.6732771073788,58,513,58,513,-0.134795426992541,0.00500564995583217,0.00734542672599384
"ENSG00000004142.12",79.4306530671065,125.255152489985,58,513,58,513,0.657102181190785,1.17270408529456e-19,8.82284994446667e-19
"ENSG00000004399.13",271.364283697728,219.261999305505,58,513,58,513,-0.307575051680725,1.56604912383763e-06,3.30701384950086e-06
"ENSG00000004455.17",105.7566165238,169.461406357011,58,513,58,513,0.68020882063594,2.45455113929193e-16,1.33663272457561e-15
"ENSG00000004468.13",31.2133550964258,25.9031453813969,58,513,58,513,-0.26903614671235,0.00157217753742938,0.0024500910349321
"ENSG00000004478.8",43.3083005108432,99.5779358356294,58,513,58,513,1.20118255011229,9.31805957100356e-18,5.84846972643567e-17
"ENSG00000004487.17",58.2347414969927,94.5010048690522,58,513,58,513,0.698449581812044,2.68380682274937e-25,3.88678027828857e-24
"ENSG00000004534.15",67.412927711175,72.6041385899308,58,513,58,513,0.107026505088518,0.527473066717669,0.571061026313175
"ENSG00000004660.15",12.8628021359171,12.4074203630019,58,513,58,513,-0.0520017704257158,0.00243174828664234,0.00370365284608638
"ENSG00000004700.16",21.6714601176989,22.7341482993502,58,513,58,513,0.0690645982072752,0.144574862193071,0.173762642377511
"ENSG00000004766.17",24.1410276332056,25.8731601896766,58,513,58,513,0.0999691879736144,0.933414748914777,0.942936822613141
"ENSG00000004776.13",10.5618563119015,1.98757198866669,58,475,58,513,-2.40978439959708,3.04178767420333e-31,1.49480509637535e-29
"ENSG00000004777.18",3.92662443498043,9.94093943324555,58,512,58,513,1.34009257808713,1.02034421970483e-11,3.51943651596928e-11
"ENSG00000004779.10",36.4531237358654,52.0304567716458,58,513,58,513,0.513313925619885,5.08282619450703e-11,1.63300104060056e-10
"ENSG00000004799.8",265.691356172087,49.5417562561264,58,513,58,513,-2.42303437473197,3.01418652461614e-28,7.00604807608296e-27
"ENSG00000004809.14",0.379229125820536,0.309533466066994,20,185,58,513,-0.292974372527051,0.0479228159106083,0.062014425520301
"ENSG00000004838.14",29.8190166106997,7.74492369866604,58,502,58,513,-1.94490974927493,1.12491171898667e-12,4.2628062569889e-12
"ENSG00000004846.16",0.301107764244503,0.152962724250018,15,80,58,513,-0.977099786393203,1.27680259879117e-08,3.27942192399706e-08
"ENSG00000004848.8",1.33253429966915,4.22491491032919,42,389,58,513,1.66474961716017,0.153553468637902,0.183749850861744
"ENSG00000004864.14",18.6662570615292,39.5169780736842,58,513,58,513,1.08203995709735,1.63286383609808e-26,2.82462839728976e-25
"ENSG00000004866.22",52.4836562397913,34.2982317429545,58,513,58,513,-0.613734028189026,4.5556040120036e-20,3.59327203134952e-19
"ENSG00000004897.12",55.4851187194741,62.721467502277,58,513,58,513,0.176858426702191,0.0343071256337057,0.0453202915116891
"ENSG00000004939.15",1.12873666558724,0.105014475743454,42,62,58,513,-3.42604882909758,3.36329602147838e-23,3.75892735075109e-22
"ENSG00000004948.16",0.350349946697536,1.18828115787855,32,316,58,513,1.76200764914064,0.852119724069948,0.871616675074784
"ENSG00000004961.15",19.9788953447301,24.1589333794221,58,513,58,513,0.274079943736386,0.000211974838068538,0.000362647089158
